Id,Checking_status,Duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment,Installment_commitment,Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Other_payment_plans,Housing,Existing_credits,Job,Num_dependents,Own_telephone,Foreign_worker,Class
401,above 200,18,existing paid,radio/tv,1473,below 100,below 1,3,male mar/wid,none,4,real estate,39,none,own,1,skilled,1,yes,yes,good
402,0-200,18,critical/other existing credit,business,1887,0,1-4,4,male mar/wid,none,4,real estate,28,bank,own,2,skilled,1,no,yes,good
403,above 200,24,delayed previously,business,8648,below 100,below 1,2,male single,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
404,above 200,14,delayed previously,new car,802,below 100,1-4,4,male single,none,2,car,27,none,own,2,unskilled resident,1,no,yes,good
405,0-200,18,delayed previously,new car,2899,0,above 7,4,male single,none,4,car,43,none,own,1,skilled,2,no,yes,good
406,0-200,24,existing paid,radio/tv,2039,below 100,below 1,1,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,bad
407,above 200,24,critical/other existing credit,used car,2197,0,4-7,4,male single,none,4,car,43,none,own,2,skilled,2,yes,yes,good
408,above 200,15,existing paid,radio/tv,1053,below 100,below 1,4,male mar/wid,none,2,real estate,27,none,own,1,skilled,1,no,no,good
409,above 200,24,existing paid,radio/tv,3235,500-1000,above 7,3,male div/sep,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
410,above 200,12,critical/other existing credit,new car,939,500-1000,4-7,4,male mar/wid,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad
411,0-200,24,existing paid,radio/tv,1967,below 100,above 7,4,female div/dep/mar,none,4,car,20,none,own,1,skilled,1,yes,yes,good
412,above 200,33,critical/other existing credit,used car,7253,below 100,4-7,3,male single,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
413,above 200,12,critical/other existing credit,business,2292,below 100,0,4,male single,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
414,above 200,10,existing paid,new car,1597,500-1000,1-4,3,male single,none,2,none,40,none,rent,1,unskilled resident,2,no,no,good
415,above 200,24,existing paid,new car,1381,0,1-4,4,female div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,no,yes,bad
416,above 200,36,critical/other existing credit,used car,5842,below 100,above 7,2,male single,none,2,life insurance,35,none,own,2,skilled,2,yes,yes,good
417,above 200,12,existing paid,new car,2579,below 100,below 1,4,male single,none,1,real estate,33,none,own,1,unskilled resident,2,no,yes,bad
418,above 200,18,delayed previously,education,8471,0,1-4,1,female div/dep/mar,none,2,car,23,none,rent,2,skilled,1,yes,yes,good
419,above 200,21,existing paid,new car,2782,500-1000,4-7,1,female div/dep/mar,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,no,yes,good
420,0-200,18,existing paid,new car,1042,0,1-4,4,female div/dep/mar,none,2,life insurance,33,none,own,1,skilled,1,no,yes,bad
421,above 200,15,existing paid,new car,3186,above 1000,4-7,2,female div/dep/mar,none,3,car,20,none,rent,1,skilled,1,no,yes,good
422,0-200,12,existing paid,used car,2028,0,1-4,4,male single,none,2,car,30,none,own,1,skilled,1,no,yes,good
423,0-200,12,critical/other existing credit,new car,958,below 100,4-7,2,male single,none,3,real estate,47,none,own,2,unskilled resident,2,no,yes,good
424,above 200,21,delayed previously,furniture/equipment,1591,100-500,4-7,4,male single,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,no,yes,good
425,0-200,12,existing paid,furniture/equipment,2762,0,above 7,1,female div/dep/mar,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,bad
426,0-200,18,existing paid,used car,2779,below 100,1-4,1,male mar/wid,none,3,car,21,none,rent,1,skilled,1,yes,yes,good
427,above 200,28,critical/other existing credit,radio/tv,2743,below 100,above 7,4,male single,none,2,car,29,none,own,2,skilled,1,no,yes,good
428,above 200,18,critical/other existing credit,radio/tv,1149,above 1000,1-4,4,male single,none,3,real estate,46,none,own,2,skilled,1,no,yes,good
429,above 200,9,existing paid,furniture/equipment,1313,below 100,above 7,1,male single,none,4,car,20,none,own,1,skilled,1,no,yes,good
430,above 200,18,critical/other existing credit,repairs,1190,below 100,0,2,female div/dep/mar,none,4,none,55,none,for free,3,unemp/unskilled non res,2,no,yes,bad
431,above 200,5,existing paid,business,3448,below 100,4-7,1,male single,none,4,real estate,74,none,own,1,unskilled resident,1,no,yes,good
432,0-200,24,existing paid,other,11328,below 100,1-4,2,male single,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
433,above 200,6,critical/other existing credit,furniture/equipment,1872,below 100,0,4,male single,none,4,none,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
434,above 200,24,critical/other existing credit,repairs,2058,below 100,1-4,4,male div/sep,none,2,real estate,33,none,own,2,skilled,1,yes,yes,good
435,above 200,9,existing paid,furniture/equipment,2136,below 100,1-4,3,male single,none,2,real estate,25,none,own,1,skilled,1,no,yes,good
436,0-200,12,existing paid,radio/tv,1484,0,1-4,2,male mar/wid,none,1,real estate,25,none,own,1,skilled,1,yes,yes,bad
437,above 200,6,existing paid,repairs,660,500-1000,4-7,2,male mar/wid,none,4,real estate,23,none,rent,1,unskilled resident,1,no,yes,good
438,above 200,24,critical/other existing credit,new car,1287,above 1000,above 7,4,female div/dep/mar,none,4,real estate,37,none,own,2,skilled,1,yes,yes,good
439,above 200,42,critical/other existing credit,repairs,3394,below 100,0,4,male single,co applicant,4,car,65,none,own,2,unemp/unskilled non res,1,no,yes,good
440,above 200,12,all paid,business,609,below 100,below 1,4,female div/dep/mar,none,1,real estate,26,none,own,1,unemp/unskilled non res,1,no,yes,bad
441,above 200,12,existing paid,new car,1884,below 100,above 7,4,male single,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
442,above 200,12,existing paid,furniture/equipment,1620,below 100,1-4,2,female div/dep/mar,co applicant,3,life insurance,30,none,own,1,skilled,1,no,yes,good
443,0-200,20,delayed previously,other,2629,below 100,1-4,2,male single,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
444,above 200,12,existing paid,education,719,below 100,above 7,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,no,yes,bad
445,0-200,48,critical/other existing credit,furniture/equipment,5096,below 100,1-4,2,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
446,above 200,9,critical/other existing credit,education,1244,0,above 7,4,female div/dep/mar,none,4,life insurance,41,none,rent,2,unskilled resident,1,no,yes,good
447,above 200,36,existing paid,new car,1842,below 100,below 1,4,female div/dep/mar,none,4,car,34,none,own,1,skilled,1,yes,yes,bad
448,0-200,7,existing paid,radio/tv,2576,below 100,1-4,2,male single,guarantor,2,real estate,35,none,own,1,skilled,1,no,yes,good
449,above 200,12,existing paid,furniture/equipment,1424,0,above 7,3,female div/dep/mar,none,4,real estate,55,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
450,0-200,15,delayed previously,repairs,1512,above 1000,1-4,3,male mar/wid,none,3,life insurance,61,stores,own,2,skilled,1,no,yes,bad
451,above 200,36,critical/other existing credit,used car,11054,0,1-4,4,male single,none,2,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
452,above 200,6,existing paid,radio/tv,518,below 100,1-4,3,female div/dep/mar,none,1,real estate,29,none,own,1,skilled,1,no,yes,good
453,above 200,12,no credits/all paid,furniture/equipment,2759,below 100,above 7,2,male single,none,4,life insurance,34,none,own,2,skilled,1,no,yes,good
454,above 200,24,existing paid,used car,2670,below 100,above 7,4,male single,none,4,car,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
455,above 200,24,existing paid,new car,4817,below 100,4-7,2,male single,co applicant,3,life insurance,31,none,own,1,skilled,1,yes,yes,bad
456,above 200,24,existing paid,used car,2679,below 100,below 1,4,female div/dep/mar,none,1,none,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
457,above 200,11,critical/other existing credit,new car,3905,below 100,1-4,2,male single,none,2,real estate,36,none,rent,2,skilled,2,no,yes,good
458,above 200,12,existing paid,used car,3386,below 100,above 7,3,male single,none,4,none,35,none,for free,1,skilled,1,yes,yes,bad
459,above 200,6,existing paid,domestic appliance,343,below 100,below 1,4,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,no,yes,good
460,above 200,18,existing paid,radio/tv,4594,below 100,below 1,3,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
461,above 200,36,existing paid,furniture/equipment,3620,below 100,1-4,1,male single,guarantor,2,life insurance,37,none,own,1,skilled,2,no,yes,good
462,above 200,15,existing paid,new car,1721,below 100,below 1,2,male single,none,3,real estate,36,none,own,1,skilled,1,no,yes,good
463,0-200,12,existing paid,furniture/equipment,3017,below 100,below 1,3,female div/dep/mar,none,1,real estate,34,none,rent,1,high qualif/self emp/mgmt,1,no,yes,good
464,0-200,12,existing paid,retraining,754,0,above 7,4,male single,none,4,life insurance,38,none,own,2,skilled,1,no,yes,good
465,above 200,18,existing paid,business,1950,below 100,4-7,4,male single,none,1,car,34,stores,own,2,skilled,1,yes,yes,good
466,above 200,24,existing paid,used car,2924,below 100,1-4,3,male single,guarantor,4,none,63,bank,own,1,skilled,2,yes,yes,good
467,above 200,24,delayed previously,radio/tv,1659,below 100,below 1,4,female div/dep/mar,none,2,car,29,none,rent,1,unskilled resident,1,yes,yes,bad
468,above 200,48,delayed previously,radio/tv,7238,0,above 7,3,male single,none,3,car,32,bank,own,2,skilled,2,no,yes,good
469,above 200,33,delayed previously,business,2764,below 100,1-4,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,yes,yes,good
470,above 200,24,delayed previously,used car,4679,below 100,4-7,3,male single,none,3,car,35,none,own,2,unskilled resident,1,yes,yes,good
471,0-200,24,existing paid,radio/tv,3092,100-500,below 1,3,male mar/wid,none,2,car,22,none,rent,1,skilled,1,yes,yes,bad
472,above 200,6,existing paid,education,448,below 100,below 1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,no,yes,bad
473,above 200,9,existing paid,new car,654,below 100,1-4,4,male single,none,3,car,28,none,own,1,unskilled resident,1,no,yes,bad
474,above 200,6,existing paid,retraining,1238,0,0,4,male single,none,4,life insurance,36,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
475,0-200,18,critical/other existing credit,radio/tv,1245,below 100,1-4,4,male mar/wid,none,2,car,33,none,own,1,skilled,1,no,yes,bad
476,above 200,18,no credits/all paid,furniture/equipment,3114,below 100,below 1,1,female div/dep/mar,none,4,life insurance,26,none,rent,1,skilled,1,no,yes,bad
477,above 200,39,existing paid,used car,2569,500-1000,1-4,4,male single,none,4,car,24,none,own,1,skilled,1,no,yes,good
478,above 200,24,existing paid,radio/tv,5152,below 100,4-7,4,male single,none,2,car,25,bank,own,1,skilled,1,no,yes,good
479,0-200,12,existing paid,business,1037,100-500,4-7,3,male single,none,4,real estate,39,none,own,1,unskilled resident,1,no,yes,good
480,above 200,15,critical/other existing credit,furniture/equipment,1478,below 100,above 7,4,male single,none,4,car,44,none,own,2,skilled,2,yes,yes,good
481,0-200,12,critical/other existing credit,radio/tv,3573,below 100,1-4,1,female div/dep/mar,none,1,real estate,23,none,own,1,unskilled resident,1,no,yes,good
482,0-200,24,existing paid,new car,1201,below 100,below 1,4,male single,none,1,life insurance,26,none,own,1,skilled,1,no,yes,good
483,above 200,30,existing paid,furniture/equipment,3622,above 1000,above 7,4,female div/dep/mar,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,good
484,above 200,15,delayed previously,furniture/equipment,960,above 1000,4-7,3,female div/dep/mar,none,2,life insurance,30,none,own,2,skilled,1,no,yes,good
485,above 200,12,critical/other existing credit,new car,1163,500-1000,1-4,4,male single,none,4,real estate,44,none,own,1,skilled,1,yes,yes,good
486,0-200,6,delayed previously,new car,1209,below 100,0,4,male single,none,4,life insurance,47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
487,above 200,12,existing paid,radio/tv,3077,below 100,1-4,2,male single,none,4,car,52,none,own,1,skilled,1,yes,yes,good
488,above 200,24,existing paid,new car,3757,below 100,above 7,4,female div/dep/mar,co applicant,4,none,62,none,for free,1,skilled,1,yes,yes,good
489,above 200,10,existing paid,new car,1418,100-500,1-4,3,male single,none,2,real estate,35,none,rent,1,unskilled resident,1,no,no,good
490,above 200,6,existing paid,new car,3518,below 100,1-4,2,male single,guarantor,3,life insurance,26,none,rent,1,skilled,1,no,yes,good
491,above 200,12,critical/other existing credit,radio/tv,1934,below 100,above 7,2,male single,none,2,none,26,none,own,2,skilled,1,no,yes,good
492,0-200,27,no credits/all paid,business,8318,below 100,above 7,2,female div/dep/mar,none,4,none,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
493,above 200,6,critical/other existing credit,radio/tv,1237,100-500,1-4,1,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,no,yes,good
494,0-200,6,existing paid,radio/tv,368,0,above 7,4,male single,none,4,life insurance,38,none,own,1,skilled,1,no,yes,good
495,above 200,12,critical/other existing credit,new car,2122,below 100,1-4,3,male single,none,2,real estate,39,none,rent,2,unskilled resident,2,no,no,good
496,above 200,24,existing paid,furniture/equipment,2996,0,1-4,2,male mar/wid,none,4,car,20,none,own,1,skilled,1,no,yes,bad
497,0-200,36,existing paid,furniture/equipment,9034,100-500,below 1,4,male single,co applicant,1,none,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
498,above 200,24,critical/other existing credit,furniture/equipment,1585,below 100,4-7,4,male single,none,3,life insurance,40,none,own,2,skilled,1,no,yes,good
499,0-200,18,existing paid,radio/tv,1301,below 100,above 7,4,male mar/wid,guarantor,2,real estate,32,none,own,1,unskilled resident,1,no,yes,good
500,above 200,6,critical/other existing credit,new car,1323,100-500,above 7,2,male div/sep,none,4,car,28,none,own,2,skilled,2,yes,yes,good
501,above 200,24,existing paid,new car,3123,below 100,below 1,4,female div/dep/mar,none,1,life insurance,27,none,own,1,skilled,1,no,yes,bad
502,above 200,36,existing paid,used car,5493,below 100,above 7,2,male single,none,4,none,42,none,for free,1,skilled,2,no,yes,good
503,above 200,9,existing paid,radio/tv,1126,100-500,above 7,2,male div/sep,none,4,real estate,49,none,own,1,skilled,1,no,yes,good
504,0-200,24,critical/other existing credit,radio/tv,1216,100-500,below 1,4,male single,none,4,none,38,bank,own,2,skilled,2,no,yes,bad
505,above 200,24,existing paid,new car,1207,below 100,below 1,4,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,no,yes,bad
506,above 200,10,existing paid,new car,1309,0,1-4,4,male single,guarantor,4,life insurance,27,none,own,1,unskilled resident,1,no,yes,bad
507,above 200,15,critical/other existing credit,used car,2360,500-1000,1-4,2,male single,none,2,car,36,none,own,1,skilled,1,yes,yes,good
508,0-200,15,all paid,new car,6850,100-500,0,1,male single,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
509,above 200,24,existing paid,radio/tv,1413,below 100,1-4,4,male mar/wid,none,2,life insurance,28,none,own,1,skilled,1,no,yes,good
510,above 200,39,existing paid,used car,8588,100-500,above 7,4,male single,none,2,car,45,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
511,above 200,12,existing paid,new car,759,below 100,4-7,4,male single,none,2,real estate,26,none,own,1,skilled,1,no,yes,bad
512,above 200,36,existing paid,used car,4686,below 100,1-4,2,male single,none,2,none,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
513,above 200,15,existing paid,business,2687,below 100,4-7,2,male single,none,4,life insurance,26,none,rent,1,skilled,1,yes,yes,good
514,0-200,12,delayed previously,radio/tv,585,below 100,1-4,4,male mar/wid,co applicant,4,real estate,20,none,rent,2,skilled,1,no,yes,good
515,above 200,24,existing paid,new car,2255,0,below 1,4,male single,none,1,life insurance,54,none,own,1,skilled,1,no,yes,good
516,above 200,6,critical/other existing credit,new car,609,below 100,4-7,4,female div/dep/mar,none,3,life insurance,37,none,own,2,skilled,1,no,no,good
517,above 200,6,critical/other existing credit,new car,1361,below 100,below 1,2,male single,none,4,real estate,40,none,own,1,unskilled resident,2,no,no,good
518,above 200,36,critical/other existing credit,furniture/equipment,7127,below 100,below 1,2,female div/dep/mar,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,bad
519,above 200,6,existing paid,new car,1203,100-500,above 7,3,male single,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,good
520,above 200,6,critical/other existing credit,radio/tv,700,0,above 7,4,male single,none,4,none,36,none,for free,2,skilled,1,no,yes,good
521,above 200,24,critical/other existing credit,repairs,5507,below 100,above 7,3,male single,none,4,none,44,none,for free,2,skilled,1,no,yes,good
522,above 200,18,existing paid,radio/tv,3190,below 100,1-4,2,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,no,yes,bad
523,above 200,48,no credits/all paid,furniture/equipment,7119,below 100,1-4,3,male single,none,4,none,53,none,for free,2,skilled,2,no,yes,bad
524,above 200,24,existing paid,used car,3488,100-500,4-7,3,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,no,yes,good
525,0-200,18,existing paid,radio/tv,1113,below 100,1-4,4,female div/dep/mar,guarantor,4,real estate,26,none,own,1,unskilled resident,2,no,yes,good
526,0-200,26,existing paid,used car,7966,below 100,below 1,2,male single,none,3,car,30,none,own,2,skilled,1,no,yes,good
527,above 200,15,critical/other existing credit,education,1532,100-500,1-4,4,female div/dep/mar,none,3,car,31,none,own,1,skilled,1,no,yes,good
528,above 200,4,critical/other existing credit,radio/tv,1503,below 100,4-7,2,male single,none,1,real estate,42,none,own,2,unskilled resident,2,no,yes,good
529,above 200,36,existing paid,radio/tv,2302,below 100,1-4,4,male div/sep,none,4,car,31,none,rent,1,skilled,1,no,yes,bad
530,above 200,6,existing paid,new car,662,below 100,below 1,3,male single,none,4,real estate,41,none,own,1,unskilled resident,2,yes,yes,good
531,0-200,36,existing paid,education,2273,below 100,4-7,3,male single,none,1,car,32,none,own,2,skilled,2,no,yes,good
532,0-200,15,existing paid,new car,2631,100-500,1-4,2,female div/dep/mar,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad
533,above 200,12,delayed previously,used car,1503,below 100,1-4,4,male mar/wid,none,4,real estate,41,none,rent,1,skilled,1,no,yes,good
534,above 200,24,existing paid,radio/tv,1311,100-500,4-7,4,male mar/wid,none,3,life insurance,26,none,own,1,skilled,1,yes,yes,good
535,above 200,24,existing paid,radio/tv,3105,0,below 1,4,male single,none,2,car,25,none,own,2,skilled,1,no,yes,good
536,above 200,21,critical/other existing credit,education,2319,below 100,below 1,2,male div/sep,none,1,car,33,none,rent,1,skilled,1,no,yes,bad
537,above 200,6,existing paid,new car,1374,0,0,4,female div/dep/mar,none,3,life insurance,75,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
538,0-200,18,critical/other existing credit,furniture/equipment,3612,below 100,above 7,3,female div/dep/mar,none,4,life insurance,37,none,own,1,skilled,1,yes,yes,good
539,above 200,48,existing paid,new car,7763,below 100,above 7,4,male single,none,4,none,42,bank,for free,1,high qualif/self emp/mgmt,1,no,yes,bad
540,above 200,18,existing paid,furniture/equipment,3049,below 100,below 1,1,female div/dep/mar,none,1,life insurance,45,stores,own,1,unskilled resident,1,no,yes,good
541,0-200,12,existing paid,radio/tv,1534,below 100,below 1,1,male mar/wid,none,1,real estate,23,none,rent,1,skilled,1,no,yes,bad
542,above 200,24,delayed previously,new car,2032,below 100,above 7,4,male single,none,4,none,60,none,for free,2,skilled,1,yes,yes,good
543,above 200,30,existing paid,furniture/equipment,6350,0,above 7,4,male single,none,4,life insurance,31,none,own,1,skilled,1,no,yes,bad
544,above 200,18,existing paid,furniture/equipment,2864,below 100,1-4,2,male single,none,1,real estate,34,none,own,1,unskilled resident,2,no,yes,bad
545,above 200,12,critical/other existing credit,new car,1255,below 100,above 7,4,male single,none,4,real estate,61,none,own,2,unskilled resident,1,no,yes,good
546,above 200,24,delayed previously,new car,1333,below 100,0,4,male single,none,2,real estate,43,none,for free,2,skilled,2,no,yes,bad
547,above 200,24,critical/other existing credit,new car,2022,below 100,1-4,4,female div/dep/mar,none,4,car,37,none,own,1,skilled,1,yes,yes,good
548,above 200,24,existing paid,radio/tv,1552,below 100,4-7,3,male single,none,1,car,32,bank,own,1,skilled,2,no,yes,good
549,above 200,12,all paid,radio/tv,626,below 100,1-4,4,female div/dep/mar,none,4,real estate,24,bank,own,1,unskilled resident,1,no,yes,bad
550,above 200,48,critical/other existing credit,used car,8858,0,4-7,2,male single,none,1,none,35,none,for free,2,skilled,1,yes,yes,good
551,above 200,12,critical/other existing credit,repairs,996,0,4-7,4,female div/dep/mar,none,4,real estate,23,none,own,2,skilled,1,no,yes,good
552,above 200,6,all paid,radio/tv,1750,500-1000,above 7,2,male single,none,4,life insurance,45,bank,own,1,unskilled resident,2,no,yes,good
553,above 200,48,existing paid,radio/tv,6999,below 100,4-7,1,male mar/wid,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,bad
554,0-200,12,critical/other existing credit,new car,1995,100-500,below 1,4,male single,none,1,car,27,none,own,1,skilled,1,no,yes,good
555,0-200,9,existing paid,education,1199,below 100,4-7,4,female div/dep/mar,none,4,life insurance,67,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
556,0-200,12,existing paid,radio/tv,1331,below 100,below 1,2,male single,none,1,car,22,stores,own,1,skilled,1,no,yes,bad
557,0-200,18,no credits/all paid,new car,2278,100-500,below 1,3,female div/dep/mar,none,3,car,28,none,own,2,skilled,1,no,yes,bad
558,above 200,21,no credits/all paid,new car,5003,0,1-4,1,female div/dep/mar,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,bad
559,above 200,24,all paid,furniture/equipment,3552,below 100,4-7,3,male single,none,4,car,27,bank,own,1,skilled,1,no,yes,bad
560,0-200,18,critical/other existing credit,furniture/equipment,1928,below 100,below 1,2,male single,none,2,real estate,31,none,own,2,unskilled resident,1,no,yes,bad
561,above 200,24,existing paid,used car,2964,0,above 7,4,male single,none,4,none,49,bank,for free,1,skilled,2,yes,yes,good
562,above 200,24,all paid,radio/tv,1546,below 100,4-7,4,male single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,no,yes,bad
563,above 200,6,delayed previously,radio/tv,683,below 100,below 1,2,female div/dep/mar,none,1,life insurance,29,bank,own,1,skilled,1,no,yes,good
564,0-200,36,existing paid,new car,12389,0,1-4,1,male single,none,4,none,37,none,for free,1,skilled,1,yes,yes,bad
565,0-200,24,delayed previously,business,4712,0,1-4,4,male single,none,2,life insurance,37,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
566,0-200,24,delayed previously,radio/tv,1553,100-500,4-7,3,female div/dep/mar,none,2,life insurance,23,none,rent,2,skilled,1,yes,yes,good
567,above 200,12,existing paid,new car,1372,below 100,4-7,2,male div/sep,none,3,car,36,none,own,1,skilled,1,no,yes,bad
568,above 200,24,critical/other existing credit,radio/tv,2578,above 1000,above 7,2,male single,none,2,car,34,none,own,1,skilled,1,no,yes,good
569,0-200,48,existing paid,radio/tv,3979,0,4-7,4,male single,none,1,car,41,none,own,2,skilled,2,yes,yes,good
570,above 200,48,existing paid,radio/tv,6758,below 100,1-4,3,female div/dep/mar,none,2,car,31,none,own,1,skilled,1,yes,yes,bad
571,above 200,24,existing paid,furniture/equipment,3234,below 100,below 1,4,female div/dep/mar,none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,bad
572,above 200,30,critical/other existing credit,radio/tv,5954,below 100,4-7,3,male single,co applicant,2,car,38,none,own,1,skilled,1,no,yes,good
573,above 200,24,existing paid,used car,5433,0,0,2,female div/dep/mar,none,4,life insurance,26,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
574,above 200,15,existing paid,business,806,below 100,1-4,4,female div/dep/mar,none,4,life insurance,22,none,own,1,unskilled resident,1,no,yes,good
575,0-200,9,existing paid,radio/tv,1082,below 100,above 7,4,male single,none,4,car,27,none,own,2,unskilled resident,1,no,yes,good
576,above 200,15,critical/other existing credit,furniture/equipment,2788,below 100,4-7,2,female div/dep/mar,co applicant,3,car,24,bank,own,2,skilled,1,no,yes,good
577,0-200,12,existing paid,radio/tv,2930,below 100,4-7,2,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,no,yes,good
578,above 200,24,critical/other existing credit,education,1927,0,1-4,3,female div/dep/mar,none,2,car,33,none,own,2,skilled,1,yes,yes,good
579,0-200,36,critical/other existing credit,new car,2820,below 100,below 1,4,male div/sep,none,4,car,27,none,own,2,skilled,1,no,yes,bad
580,above 200,24,existing paid,retraining,937,below 100,below 1,4,male mar/wid,none,3,car,27,none,own,2,unskilled resident,1,no,yes,good
581,0-200,18,critical/other existing credit,new car,1056,below 100,above 7,3,male single,guarantor,3,real estate,30,bank,own,2,skilled,1,no,yes,bad
582,0-200,12,critical/other existing credit,new car,3124,below 100,below 1,1,male single,none,3,real estate,49,bank,own,2,unskilled resident,2,no,yes,good
583,above 200,9,existing paid,furniture/equipment,1388,below 100,1-4,4,female div/dep/mar,none,2,real estate,26,none,rent,1,skilled,1,no,yes,good
584,0-200,36,existing paid,repairs,2384,below 100,below 1,4,male single,none,1,none,33,none,rent,1,unskilled resident,1,no,yes,bad
585,above 200,12,existing paid,new car,2133,0,above 7,4,female div/dep/mar,none,4,none,52,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
586,above 200,18,existing paid,furniture/equipment,2039,below 100,1-4,1,female div/dep/mar,none,4,real estate,20,bank,rent,1,skilled,1,no,yes,bad
587,above 200,9,critical/other existing credit,new car,2799,below 100,1-4,2,male single,none,2,real estate,36,none,rent,2,skilled,2,no,yes,good
588,above 200,12,existing paid,furniture/equipment,1289,below 100,1-4,4,male single,guarantor,1,life insurance,21,none,own,1,unskilled resident,1,no,yes,good
589,above 200,18,existing paid,domestic appliance,1217,below 100,1-4,4,male mar/wid,none,3,real estate,47,none,own,1,unskilled resident,1,yes,yes,bad
590,above 200,12,critical/other existing credit,furniture/equipment,2246,below 100,above 7,3,male single,none,3,life insurance,60,none,own,2,skilled,1,no,yes,bad
591,above 200,12,critical/other existing credit,radio/tv,385,below 100,4-7,4,female div/dep/mar,none,3,real estate,58,none,own,4,unskilled resident,1,yes,yes,good
592,0-200,24,delayed previously,new car,1965,0,1-4,4,female div/dep/mar,none,4,car,42,none,rent,2,skilled,1,yes,yes,good
593,above 200,21,existing paid,business,1572,above 1000,above 7,4,female div/dep/mar,none,4,real estate,36,bank,own,1,unskilled resident,1,no,yes,good
594,0-200,24,existing paid,new car,2718,below 100,1-4,3,female div/dep/mar,none,4,life insurance,20,none,rent,1,unskilled resident,1,yes,yes,bad
595,above 200,24,all paid,other,1358,0,above 7,4,male single,none,3,car,40,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
596,0-200,6,all paid,new car,931,100-500,below 1,1,female div/dep/mar,none,1,life insurance,32,stores,own,1,unskilled resident,1,no,yes,bad
597,above 200,24,existing paid,new car,1442,below 100,4-7,4,female div/dep/mar,none,4,car,23,none,rent,2,skilled,1,no,yes,bad
598,0-200,24,no credits/all paid,business,4241,below 100,1-4,1,male single,none,4,real estate,36,none,own,3,unskilled resident,1,yes,yes,bad
599,above 200,18,critical/other existing credit,new car,2775,below 100,4-7,2,male single,none,2,life insurance,31,bank,own,2,skilled,1,no,yes,bad
600,above 200,24,delayed previously,business,3863,below 100,1-4,1,male single,none,2,none,32,none,for free,1,skilled,1,no,yes,good
601,0-200,7,existing paid,radio/tv,2329,below 100,below 1,1,female div/dep/mar,guarantor,1,real estate,45,none,own,1,skilled,1,no,yes,good
